Area-Year,Predicted Export Value (USD),Actual Export Value (USD)
Niue-2021,10.608965,12.351384376690227
Niue-2022,11.976691,11.470956980147728
North Macedonia-2020,18.209738,19.86177727988221
North Macedonia-2021,18.332417,19.9363323668713
North Macedonia-2022,14.798737,19.90857003982099
Norway-2022,15.965434,19.198731277012087
Oman-2020,19.653273,20.497262074124286
Oman-2021,20.777006,20.730090585281378
Oman-2022,17.732428,20.15202693153008
Pakistan-2021,20.400387,21.98538574952619
Pakistan-2022,16.459064,22.070151509046664
Palestine-2020,17.354372,17.870948824265483
Palestine-2021,15.303553,18.303197488357448
Palestine-2022,16.51007,18.030828468785625
Panama-2021,19.193594,19.4442558596626
Panama-2022,16.491817,19.327068603847163
Papua New Guinea-2020,18.451647,20.031334836539486
Papua New Guinea-2021,18.153385,20.617694554634408
Papua New Guinea-2022,14.676411,20.891184991943703
Paraguay-2021,21.24687,21.225238153588606
Paraguay-2022,16.591917,21.56509153231157
Peru-2020,20.9485,22.475759875621378
Peru-2021,20.974674,22.796433293904542
Peru-2022,17.471952,22.662544336571365
Philippines-2022,15.64188,22.47278482865216
Portugal-2020,20.814852,22.163941424505477
Portugal-2021,20.591936,22.279832222871146
Portugal-2022,16.784422,22.409603029350198
Qatar-2020,15.10437,14.596247281676911
Qatar-2021,16.115593,14.481425278249672
Qatar-2022,16.713427,14.575685346812556
Republic of Korea-2020,20.273619,21.924847167978257
Republic of Korea-2021,20.445074,21.981205753321337
Republic of Korea-2022,16.211626,21.882467167190143
Republic of Moldova-2021,19.949068,20.58383895143343
Romania-2021,21.444008,22.66262451907518
Romania-2022,17.617594,22.636632707022397
Rwanda-2020,18.276579,19.01287152979424
Rwanda-2021,18.292583,19.481164837119053
Rwanda-2022,12.980716,19.63004023400129
Saint Kitts and Nevis-2020,15.793018,15.438314742453695
Saint Kitts and Nevis-2021,15.260669,9.863186255762603
Saint Kitts and Nevis-2022,11.199205,11.434098684424258
Saint Lucia-2020,16.706871,16.0415903459587
Saint Lucia-2021,17.333296,15.111833711569162
Saint Lucia-2022,14.389465,15.21973815309419
Saint Vincent and the Grenadines-2020,16.538681,16.41853648317003
Saint Vincent and the Grenadines-2021,16.349255,16.330600410484507
Saint Vincent and the Grenadines-2022,16.014147,16.525751025347784
Samoa-2020,16.580385,15.822619281740597
Samoa-2021,18.204874,16.236716557724872
Samoa-2022,11.444268,16.10256669849068
Sao Tome and Principe-2020,13.929546,15.220984803496632
Sao Tome and Principe-2021,13.172211,15.666417480100405
Sao Tome and Principe-2022,12.847628,15.966609750783206
Saudi Arabia-2020,19.838478,21.22154408256939
Saudi Arabia-2021,20.051546,21.463649036522366
Saudi Arabia-2022,15.898926,21.352168175907394
Senegal-2020,19.491018,20.112525895581456
Senegal-2021,18.942122,20.47592858918747
Senegal-2022,16.656082,20.210988543350783
Serbia-2021,20.420832,21.92754897811289
Serbia-2022,15.536852,21.881113227200586
Seychelles-2020,16.094572,14.969339932870264
Seychelles-2021,17.099503,14.306211022426229
Seychelles-2022,14.554699,13.363786828626152
Sierra Leone-2020,16.207144,15.464622926748486
Sierra Leone-2021,16.511644,16.950592080051383
Sierra Leone-2022,15.423441,17.053197538390794
Singapore-2020,18.905272,21.652059381891846
Singapore-2021,18.924284,21.629015470138444
Singapore-2022,14.080862,21.59579924543465
Slovakia-2021,21.214779,21.215388177675823
Slovenia-2021,21.10983,20.719034678205787
Solomon Islands-2020,16.006168,17.552721499643038
Solomon Islands-2021,14.628426,17.850891077178787
Solomon Islands-2022,13.698406,17.95487230258743
Somalia-2020,15.54211,16.142826311605344
Somalia-2021,15.20074,16.274114299331224
Somalia-2022,13.840747,15.07789848613924
South Africa-2020,21.877335,22.627999717424302
South Africa-2021,21.391708,22.77169927825936
South Africa-2022,16.84059,22.859620826075492
South Sudan-2020,14.873146,15.254100835678047
South Sudan-2021,13.909071,15.022723108640038
South Sudan-2022,12.559753,15.075748377168125
Sri Lanka-2020,20.429758,20.36879024408959
Sri Lanka-2021,19.392971,20.568690847112393
Sri Lanka-2022,15.207275,20.435552083992807
Sudan-2020,19.69433,19.773025172915915
Sudan-2021,19.301128,20.236031227364087
Sudan-2022,15.506607,19.966039293819463
Suriname-2020,18.059555,18.24011009342702
Suriname-2021,18.615305,18.3529542131746
Suriname-2022,16.022444,18.05650070712786
Switzerland-2020,19.867521,21.19104655360163
Switzerland-2021,20.401201,21.172782158430785
Switzerland-2022,17.255148,21.187212384051385
Syrian Arab Republic-2020,19.07431,19.92321239111747
Syrian Arab Republic-2021,18.453314,20.02855215005586
Syrian Arab Republic-2022,14.711673,19.579208069407656
Tajikistan-2020,18.291176,17.030310487645618
Tajikistan-2021,18.690409,17.51914634981419
Timor-Leste-2020,14.919054,14.77483779052889
Timor-Leste-2021,15.622591,14.740586585866357
Timor-Leste-2022,11.85123,13.388949486561375
Togo-2020,17.379347,18.56890693718688
Togo-2021,17.472359,18.52983922818818
Togo-2022,10.053935,18.512586498909467
Tonga-2020,14.248671,15.377213049791335
Tonga-2021,15.757038,15.50590153280404
Tonga-2022,11.343641,15.068124943993242
Trinidad and Tobago-2020,17.726698,19.074219932376206
Trinidad and Tobago-2021,18.803802,19.114673317067304
Trinidad and Tobago-2022,11.28367,19.239134939469185
Tunisia-2021,19.333513,20.993337683083677
Tunisia-2022,15.538775,21.216684030719595
Türkiye-2020,22.250425,23.42832625041779
Turkmenistan-2020,17.204832,17.73822619293116
Turkmenistan-2021,17.043356,18.293097909237336
Tuvalu-2020,4.46543,8.692825760059396
Tuvalu-2021,10.870422,9.020389788017736
Tuvalu-2022,11.632595,8.375629627094451
Uganda-2020,19.710203,19.971550628330583
Uganda-2021,19.219786,20.17583876143177
Uganda-2022,14.805494,19.74634257228703
United Kingdom of Great Britain and Northern Ireland-2020,21.234968,22.484592531330104
United Kingdom of Great Britain and Northern Ireland-2021,21.193777,22.380206117076856
United Kingdom of Great Britain and Northern Ireland-2022,16.919128,22.479416686217498
United Republic of Tanzania-2020,19.918222,20.730809144529083
United Republic of Tanzania-2021,20.42372,20.835681346506757
United Republic of Tanzania-2022,14.784497,20.77638618375673
Uruguay-2021,21.154802,20.898498619309844
Uruguay-2022,16.580208,21.167952914617324
Uzbekistan-2020,20.378496,20.98705937182784
Uzbekistan-2021,20.542803,20.976606837009502
Vanuatu-2020,16.716806,14.400415296324754
Vanuatu-2021,16.0753,14.99220363099238
Vanuatu-2022,14.209741,13.84704798396243
Venezuela (Bolivarian Republic of)-2020,18.27022,15.131832997055032
Venezuela (Bolivarian Republic of)-2021,17.998762,17.598500836579777
Venezuela (Bolivarian Republic of)-2022,15.394951,17.526356228499072
Viet Nam-2021,21.645832,23.266626000459233
Viet Nam-2022,16.264626,23.056694834239856
Yemen-2020,18.5804,18.92587341237261
Yemen-2021,18.644749,19.273980428733136
Yemen-2022,13.158129,18.639091191783436
Zambia-2020,19.49742,19.75537223645576
Zambia-2021,20.17807,19.970445676615068
Zambia-2022,15.762179,20.263551981926522
Zimbabwe-2020,18.081825,20.65574044889303
Zimbabwe-2021,18.021105,20.639395162782282
Zimbabwe-2022,15.0906515,20.80920355944194
